Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ሀ,ha,hā,hä,ha,hă,ha,hä,ha,ha,he,ha,ha,ha,ha,ha,ha,ha,ha,ha,he
ሁ,hu,hu,hu,hū,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu,hu
ሂ,hi,hī,hi,hī,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
ሃ,hā,hā,ha,hā,ha,ha,ha,ha,hā,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha
ሄ,hé,hē,he,hē,he,he,he,he,hē,hE,he,he,he,he,he,he,he,he,he,he
ህ,he/h,h/hi,hə/hø,he,hĕ,h/hə,hï,hɪ,he,h,he/h,h/hi,h@/ho,he,he,h/h@,hi,hi,he,h
ሆ,ho,ho,ho,hō,ho,hʷo,ho,ho,ho,ho,ho,ho,ho,ho,ho,hwo,ho,ho,ho,ho
ለ,la,la,lä,la,lă,lɑ,lä,lə,la,le,la,la,la,la,la,la,la,l@,la,le
ሉ,lu,lu,lu,lū,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu,lu
ሊ,li,lī,li,lī,li,li,li,li,li,li,li,li,li,li,li,li,li,li,li,li
ላ,lā,lā,la,lā,la,la,la,la,lā,la,la,la,la,la,la,la,la,la,la,la
ሌ,lé,lē,le,lē,le,lʸe,le,le,lē,lE,le,le,le,le,le,lye,le,le,le,le
ል,le/l,l/li,lə/lø,le,lĕ,l/lə,lï,lɪ,le,l,le/l,l/li,l@/lo,le,le,l/l@,li,li,le,l
ሎ,lo,lo,lo,lō,lo,lʷo,lo,lo,lo,lo,lo,lo,lo,lo,lo,lwo,lo,lo,lo,lo
ሏ,lwa,,,,,lwa,lwä,,lwā,lWa,lwa,,,,,lwa,lwa,,lwa,lwa
ሐ,ḥa,hā,hä/ḥä,ḥa,ḥă,ha,hä,ha,ḥa,He,ha,ha,ha/ha,ha,ha,ha,ha,ha,ha,he
ሑ,ḥu,hu,hu/ḥu,ḥū,ḥu,hu,hu,hu,ḥu,Hu,hu,hu,hu/hu,hu,hu,hu,hu,hu,hu,hu
ሒ,ḥi,hī,hi/ḥi,ḥī,ḥi,hi,hi,hi,ḥi,Hi,hi,hi,hi/hi,hi,hi,hi,hi,hi,hi,hi
ሓ,ḥā,hā,ha/ḥa,ḥā,ḥa,ha,ha,ha,ḥā,Ha,ha,ha,ha/ha,ha,ha,ha,ha,ha,ha,ha
ሔ,ḥé,hē,he/ḥe,ḥē,ḥe,he,he,he,ḥē,HE,he,he,he/he,he,he,he,he,he,he,he
ሕ,ḥe/ḥ,h/hi,hə/hø/ḥə/ḥø,ḥe,ḥĕ,h/hə,hï,hɪ,ḥe,H,he/h,h/hi,h@/ho/h@/ho,he,he,h/h@,hi,hi,he,h
ሖ,ḥo,ho,ho/ḥo,ḥō,ḥo,hʷo,ho,ho,ḥo,Ho,ho,ho,ho/ho,ho,ho,hwo,ho,ho,ho,ho
ሗ,,,,,,,,,ḥwā,HWa,,,,,,,,,hwa,hwa
መ,ma,ma,mä,ma,mă,mɑ,mä,mə,ma,me,ma,ma,ma,ma,ma,ma,ma,m@,ma,me
ሙ,mu,mu,mu,mū,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu
ሚ,mi,mī,mi,mī,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi
ማ,mā,mā,ma,mā,ma,ma,ma,ma,mā,ma,ma,ma,ma,ma,ma,ma,ma,ma,ma,ma
ሜ,mé,mē,me,mē,me,mʸe,me,me,mē,mE,me,me,me,me,me,mye,me,me,me,me
