Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ሀ,1200,ha,hā,hä,ha,hă,ha,hä,ha,ha,he
ሁ,1201,hu,hu,hu,hū,hu,hu,hu,hu,hu,hu
ሂ,1202,hi,hī,hi,hī,hi,hi,hi,hi,hi,hi
ሃ,1203,hā,hā,ha,hā,ha,ha,ha,ha,hā,ha
ሄ,1204,hé,hē,he,hē,he,he,he,he,hē,hE
ህ,1205,he/h,h/hi,hə/hø,he,hĕ,h/hə,hï,hɪ,he,h
ሆ,1206,ho,ho,ho,hō,ho,hʷo,ho,ho,ho,ho
ለ,1208,la,la,lä,la,lă,lɑ,lä,lə,la,le
ሉ,1209,lu,lu,lu,lū,lu,lu,lu,lu,lu,lu
ሊ,120A,li,lī,li,lī,li,li,li,li,li,li
ላ,120B,lā,lā,la,lā,la,la,la,la,lā,la
ሌ,120C,lé,lē,le,lē,le,lʸe,le,le,lē,lE
ል,120D,le/l,l/li,lə/lø,le,lĕ,l/lə,lï,lɪ,le,l
ሎ,120E,lo,lo,lo,lō,lo,lʷo,lo,lo,lo,lo
ሏ,120F,lwa,,,,,lwa,lwä,,lwā,lWa
ሐ,1210,ḥa,hā,hä/ḥä,ḥa,ḥă,ha,hä,ha,ḥa,He
ሑ,1211,ḥu,hu,hu/ḥu,ḥū,ḥu,hu,hu,hu,ḥu,Hu
ሒ,1212,ḥi,hī,hi/ḥi,ḥī,ḥi,hi,hi,hi,ḥi,Hi
ሓ,1213,ḥā,hā,ha/ḥa,ḥā,ḥa,ha,ha,ha,ḥā,Ha
ሔ,1214,ḥé,hē,he/ḥe,ḥē,ḥe,he,he,he,ḥē,HE
ሕ,1215,ḥe/ḥ,h/hi,hə/hø/ḥə/ḥø,ḥe,ḥĕ,h/hə,hï,hɪ,ḥe,H
ሖ,1216,ḥo,ho,ho/ḥo,ḥō,ḥo,hʷo,ho,ho,ḥo,Ho
ሗ,1217,,,,,,,,,ḥwā,HWa
መ,1218,ma,ma,mä,ma,mă,mɑ,mä,mə,ma,me
ሙ,1219,mu,mu,mu,mū,mu,mu,mu,mu,mu,mu
ሚ,121A,mi,mī,mi,mī,mi,mi,mi,mi,mi,mi
ማ,121B,mā,mā,ma,mā,ma,ma,ma,ma,mā,ma
ሜ,121C,mé,mē,me,mē,me,mʸe,me,me,mē,mE
ም,121D,me/m,m/mi,mə/mø,me,mĕ,m/mə,mï,mɪ,me,m
ሞ,121E,mo,mo,mo,mō,mo,mʷo,mo,mo,mo,mo
ᎀ,1380,,,,,,,,,mwa,mWe
ᎁ,1381,,,,,,,,,mwi,mWi
ሟ,121F,mwa,,,,,mwa,mwä,,mwā,mWa
ᎂ,1382,,,,,,,,,mwē,mWE
ᎃ,1383,,,,,,,,,mwe,mW
ሠ,1220,śa,sa,śä,ša,śă,sɑ,sä,sə,śa,‘se
ሡ,1221,śu,su,śu,šū,śu,su,su,su,śu,‘su
ሢ,1222,śi,sī,śi,šī,śi,si,si,si,śi,‘si
ሣ,1223,śā,sā,śa,šā,śa,sa,sa,sa,śā,‘sa
ሤ,1224,śé,sē,śe,šē,śe,sʸe,se,se,śē,‘sE
ሥ,1225,śe/ś,s/si,śə/śø,še,śĕ,s/sə,sï,sɪ,śe,‘s
ሦ,1226,śo,so,śo,šō,śo,sʷo,so,so,śo,‘so
ሧ,1227,,,,,,,,,śwā,‘sWa
ረ,1228,ra,ra,rä,ra,ră,rɑ,rä,rə,ra,re
ሩ,1229,ru,ru,ru,rū,ru,ru,ru,ru,ru,ru
ሪ,122A,ri,rī,ri,rī,ri,ri,ri,ri,ri,ri
ራ,122B,rā,rā,ra,rā,ra,ra,ra,ra,rā,ra
ሬ,122C,ré,rē,re,rē,re,rʸe,re,re,rē,rE
ር,122D,re/r,r/ri,rə/rø,re,rĕ,r/rə,rï,rɪ,re,r
ሮ,122E,ro,ro,ro,rō,ro,rʷo,ro,ro,ro,ro
ሯ,122F,rwa,,,,,rwa,rwä,,rwā,rWa
ሰ,1230,sa,sa,sä,sa,să,sɑ,sä,sə,sa,se
ሱ,1231,su,su,su,sū,su,su,su,su,su,su
ሲ,1232,si,sī,si,sī,si,si,si,si,si,si
ሳ,1233,sā,sā,sa,sā,sa,sa,sa,sa,sā,sa
ሴ,1234,sé,sē,se,sē,se,sʸe,se,se,sē,sE
ስ,1235,se/s,s/si,sə/sø,se,sĕ,s/sə,sï,sɪ,se,s
ሶ,1236,so,so,so,sō,so,sʷo,so,so,so,so
ሷ,1237,swa,,,,,swa,swä,,swā,sWa
ሸ,1238,ša,sha,šä,,chă,šä,shä,šə,ša,xe
ሹ,1239,šu,shu,šu,,chu,šu,shu,šu,šu,xu
